Date,SP 500 Change %,UST 2yr Change %,UST 10yr Change %,Euro Bond Vol.,Euro Bond Change %,Gold Vol.,Gold Change %,Crude Oil Vol.,Crude Oil Change %,Dollar Index Vol.,Dollar Index Change %,VIX Change %,UST 10yr Direction
2008-12-29,-0.0039,-0.1356,-0.0154,132.15,0.0034,0.13,0.0048,150.6,0.0613,3.8,-0.002,0.012,0
2008-12-30,0.0244,-0.0753,-0.0228,163.39,-0.0041,0.14,-0.0061,137.26,-0.0247,1.7,0.0031,-0.0517,0
2009-01-02,0.0316,0.0768,0.0635,212.35,0.0035,0.05,-0.0054,184.68,0.039,2.88,0.008,-0.0203,1
2009-01-05,-0.0047,-0.0617,0.0525,428.41,-0.005,0.04,-0.0246,258.76,0.0533,4.45,0.0093,-0.0028,1
2009-01-06,0.0078,0.0039,-0.0141,567.17,-0.0098,0.11,0.0096,331.31,-0.0047,5.95,0.0017,-0.0133,0
2009-01-07,-0.03,0.0513,0.0196,766.73,-0.0046,0.1,-0.0281,306.26,-0.1225,4.1,-0.0072,0.1253,1
2009-01-08,0.0034,0.0293,-0.0212,725.39,0.0058,0.26,0.0152,312.49,-0.0218,3.58,-0.0094,-0.0191,0
2009-01-09,-0.0213,-0.0996,-0.0213,608.11,0.0093,0.12,0.0005,277.43,-0.0209,3.73,0.0136,0.0061,0
2009-01-12,-0.0226,-0.0066,-0.0351,439.62,0.0033,0.07,-0.0398,272.83,-0.0794,2.56,0.0035,0.0705,0
2009-01-13,0.0018,0.0053,-0.0052,662.85,-0.0001,0.02,-0.0002,340.62,0.0051,4.82,0.0149,-0.0561,0
2009-01-14,-0.0335,-0.058,-0.0396,760.5,0.0057,0.01,-0.0145,311.08,-0.0132,3.59,0.0021,0.1357,0
2009-01-15,0.0013,0.0168,0.0023,742.63,0.0027,0.02,-0.0019,179.93,-0.0504,3.98,-0.0002,0.0379,1
2009-01-16,0.0076,0.0096,0.0592,696.22,-0.0046,0.06,0.0404,97.98,0.0314,0.7,-0.0038,-0.0959,1
2009-01-20,-0.0528,-0.0327,-0.0289,765.02,-0.0016,0.02,0.0182,28.52,0.0611,4.35,0.0176,0.2286,0
2009-01-21,0.0435,0.1128,0.0688,537.17,0.0025,0.04,-0.0059,276.26,0.1242,3.71,-0.004,-0.1806,1
2009-01-22,-0.0152,-0.0608,0.0208,864.14,-0.0081,0.06,0.0101,317.57,0.0028,4.82,-0.0045,0.0187,1
2009-01-23,0.0054,0.1093,0.0062,804.42,-0.0079,0.05,0.0432,269.76,0.0641,4.94,0.0007,-0.0004,1
2009-01-26,0.0056,0.0243,0.0119,660.54,-0.0075,0.02,0.0147,277.5,-0.0159,3.51,-0.0114,-0.0334,1
2009-01-27,0.0109,0.0012,-0.0442,613.84,0.0029,0.05,-0.0102,308.44,-0.0908,3.59,-0.0032,-0.0753,0
2009-01-28,0.0336,0.0807,0.0565,670.09,0.0028,0.02,-0.0123,291.42,0.0139,5.99,0.0033,-0.0613,1
2009-01-29,-0.0331,0.0648,0.0719,737.37,-0.0014,66.61,0.0191,245.85,-0.0171,4.17,0.0064,0.0749,1
2009-01-30,-0.0228,-0.0124,-0.0045,679.45,-0.0042,10.46,0.0245,237.73,0.0058,4.73,0.0082,0.0518,0
2009-02-02,-0.0005,-0.0574,-0.047,435.22,0.0026,3.22,-0.0222,263.65,-0.0384,4.05,0.0002,0.0152,0
2009-02-03,0.0158,0.0698,0.0648,591.54,-0.0042,1.45,-0.0162,244.62,0.0175,5.6,-0.0121,-0.054,1
2009-02-04,-0.0075,0.0176,0.0159,684.47,-0.0021,0.47,0.0108,254.2,-0.0113,3.68,0.0076,0.0183,1
2009-02-05,0.0164,-0.0081,-0.0068,753.0,0.0028,0.77,0.0133,229.73,0.0211,3.19,0.0033,-0.0027,0
